,TCGA-A7-A13D-01A-13R-A12P-07,TCGA-E9-A1RH-11A-34R-A169-07
ADIPOQ,6,193006
ZNF707,1112,308
MUC16,6398,190
NPM1,28813,23541
PJA1,2610,4456
DHTKD1,4988,3320
PENK,1,120
ZNF746,1495,868
POLR2A,13214,10613
TMEM132C,11,10031
SLC25A41,8,5
FRAT2,1055,478
TMEM102,472,64
TMEM132E,18,6
ZNF322,218,399
NME9,15,15
SPEM1,3,1
HEPHL1,51,3
LRRC75A,119,221
OR5M8,0,0
CCL13,4,813
DDX60L,1589,1299
SYNE4,1580,64
OGFOD3,2591,1408
UTS2R,1,6
AATK,270,223
DDN,103,4
ZNF467,1152,421
SOX2,9,1
ZNF678,484,554
TMEM45A,4778,753
RAP2B,4857,2060
ZBTB2,1257,1166
RNF135,1087,1999
OR6T1,1,0
ACBD4,190,852
OR8D4,0,0
SGSH,2274,1814
MAB21L2,0,0
FANCB,246,32
EDDM3B,0,0
SETD2,4271,6691
EDDM3A,0,1
TMIE,18,48
MEX3D,1339,488
OR52D1,0,0
MRPS23,1808,1743
FDCSP,2816724,209
GPR135,25,143
SLX1B,0,0
ANKRD62,1,1
P2RY13,12,290
TNFSF15,299,174
ZFP41,561,229
PHLDA2,885,68
ATG9B,177,22
GPR88,7,82
PLAG1,17,91
OR8H1,0,0
OR5T1,0,0
YIPF6,4276,5403
OR5T2,0,0
ZBTB20,236,1192
OR2Z1,0,0
OR8K5,0,0
AMIGO1,423,1581
OR8H2,0,0
GPR3,138,1
TMEM252,0,87
OR5AS1,0,0
ACTL9,0,0
SIAH2,2323,1365
COPG1,21375,8789
ADGRB1,108,38
OR6S1,0,0
SLC9A9,154,1965
LSM10,1580,940
RELL1,735,2792
RFX7,1491,1421
SLC35C1,1489,2142
TIGIT,17,55
RNF41,2220,4370
SLC2A4,15,6664
FTMT,0,0
IBA57,434,678
CLDN7,10370,388
ZNF329,1270,699
ZNF101,277,433
OR4C6,0,0
C5orf24,1990,3624
ADO,1982,1472
COA4,1983,1242
OR4P4,0,0
PRKAG1,4541,3865
GINS3,514,414
OR4C15,0,0
OR4A15,0,0
OR4A16,0,0
OR52K2,0,0
NEUROG1,0,0
CCDC149,1210,1161
MRPS11,664,870
SNRPE,3796,1625
RTKN2,3762,72
CHST15,3858,1343
ADIG,0,0
USH1G,69,0
MGAT4C,1,11
TRIM49B,0,0
IDH2,14531,3621
OR52A1,0,0
PTCHD3,3,161
OR6B2,0,0
TMEM259,2210,3083
TNRC18,7085,3760
FAM181B,77,26
TMEM30B,789,705
DEXI,54,151
ZNF716,1,1
NOP10,3752,2219
FAM89A,290,3919
KCNIP1,14,38
TDRKH,2426,553
ZNF708,257,442
IST1,5654,8230
ERCC6L2,597,1489
MRPL41,879,1490
ENPP7,0,1
CREB3L2,15139,7480
UNC5C,396,304
TSEN54,3216,422
ASB18,0,0
UBA7,842,2545
MRPS16,2504,3185
RAD51B,747,245
CRYGB,0,0
LDOC1,4440,1701
ARL6IP4,13,5
EXT1,6191,2979
SHMT2,7362,1832
MOB2,1266,1230
HHIPL1,700,304
ATP6AP2,10951,9745
ZAR1,0,0
CYB5D1,4,3
BACE2,13747,2999
UBE2E2,1676,1999
SYNM,6088,16254
KCNA4,5,104
GABRG3,11,1
PRR34,14,48
NLRP10,2,2
FIGN,1407,1488
IZUMO1,11,16
TMIGD1,0,0
B4GALNT4,2338,83
C8orf33,4321,3581
MBD3L3,0,0
ZSCAN22,556,215
KCNJ14,226,28
FBXL6,947,210
C1S,11041,56629
GLTPD2,10,9
KIAA2012,5,5
LIPF,0,3
DAOA,0,0
ZNF804B,0,0
KBTBD3,158,457
YBEY,1035,461
CLN8,449,825
PLCXD1,885,1362
PLCXD1,0,0
NXPH4,1123,60
CACNB4,22,187
IFNL1,46,0
TRAPPC6B,126,334
PGBD4,107,185
CDY2A,0,0
NPLOC4,12798,7586
OTOL1,0,0
KCNK4,0,0
TEX19,10,0
TSHZ2,324,3913
CAPN12,352,8
EXOC7,4995,4790
KPNA2,26889,1506
XKRX,20,8
BGN,49802,13377
CEP97,497,569
LHFPL1,8,2
FES,818,1296
GLRX5,2160,2424
FAM104B,1032,561
TBPL2,0,1
CAV3,0,9
MXRA7,4115,9260
LIMK2,6255,2404
MFSD5,1891,1315
RNASE10,4,1
ADI1,6950,5815
SPNS3,36,13
CLEC4G,0,0
SATB1,1918,2497
NXPH3,465,1082
CSF1R,1613,6856
VCX,0,0
ACTL10,4,0
EPGN,31,1
KRTAP11-1,0,0
HS3ST4,3,43
TRAK1,2458,4175
TSPAN10,373,156
PLCB1,1784,1441
SKA2,1350,1713
RXFP3,7,1
OR10G7,0,0
NDN,475,5746
CCDC172,0,0
NTM,2200,1720
TTC3,22386,25673
KCNB2,3,49
PPP1R27,4,2
BRICD5,127,19
GALR2,0,2
RESP18,0,0
IGIP,311,2612
TSKU,2816,3974
CMC4,0,0
ANXA2,66218,50913
RGS6,209,295
HOXB4,133,415
SLC35D3,3,0
PAPPA,476,219
MAFA,6,0
NGRN,458,856
GRID1,170,216
RPS17,156,98
HCAR2,65,2412
OR2T29,1,0
CCDC87,13,11
GSTA5,2,1
C1orf116,1524,597
MAGEB17,1,4
CRIP2,2972,4076
DDX28,591,484
KRTAP13-2,0,0
ACBD3,4103,2889
PLCXD3,77,491
VMO1,64,39
OR4F15,0,0
ALG12,532,529
LCK,46,124
GALNT9,2,1
COL18A1,23465,4565
RBM10,4300,2091
ADGRG3,25,61
GLUD2,157,272
TMEM95,1089,0
TCHHL1,99,0
RPL35A,31630,24709
RGS7,0,3
SLC25A18,35,475
ZNF721,507,1019
TCEAL7,43,479
C11orf54,408,816
CEP63,1382,2296
WFDC10B,26,0
OTOP3,0,0
EWSR1,17071,8132
ODF3L1,6,41
HMGN4,3333,3667
SPATA13,1554,1307
GJC1,871,1292
SOX1,0,0
CNOT10,1581,1231
MTA1,1708,1848
ZNF662,336,580
CADM1,4232,1134
ZNF320,1316,1072
C12orf60,286,87
PYCR1,15073,270
NAA38,1758,1021
SPNS2,4966,1166
MCEMP1,48,5
AP2A2,5792,5741
SLC8A1,192,761
OR1G1,1,0
SLC25A21,44,58
OTOP2,1,2
CYLC1,0,0
PCP4,53,3
ABAT,325,978
SLC25A10,1332,388
CAMK1D,4059,2290
RGPD6,2,2
LYSMD4,155,486
WBP2NL,47,29
IGSF5,18,2
NKX2-5,1,9
AFMID,2087,930
GAS6,4778,7823
FREM3,0,1
NEB,177,71
BEGAIN,43,53
GPC6,675,3083
ARHGEF37,1530,1422
FAM43B,40,103
CSMD1,5,21
CALHM3,8,3
PTGDR2,1,69
CEP57L1,530,812
GPR19,38,13
RABIF,1021,494
TMEM119,955,2848
FANCF,805,568
CALN1,2,67
SMDT1,1285,2025
GABRR3,0,0
C2CD4C,51,76
CHST6,417,18
POTEC,1,0
RUVBL2,8419,1758
GDPGP1,117,121
CTNNA3,11,113
PRR36,276,46
OR51B4,0,0
PTTG1IP,36300,12232
DDX41,4194,2126
ABHD16B,0,0
CCDC60,3,2
CCBE1,47,687
SELENOF,9044,8643
OR5P2,0,0
FAM9A,0,0
ZNF623,2667,2129
EPHA10,730,33
SPDYE4,2,1
CCDC125,524,813
REC114,0,1
BCOR,2638,1259
JRKL,961,1045
GBP6,14,12
KIAA2026,1306,1999
OVCH2,4,25
SYNDIG1L,14,8
FHL3,3207,605
OR56A4,0,0
PMCH,0,0
TMEM89,1,0
CCDC159,260,430
RIPK4,1491,311
LRIT3,18,14
NPIPA1,448,83
TFDP3,9,0
GRIN2A,7,241
URAD,0,47
GTF2H2C,84,101
ASB7,636,1248
SH2D7,21,7
TREX2,47,10
GPR132,219,107
MX2,3127,2095
EP400,2521,3214
MEX3B,462,211
COA5,959,1607
PSMG1,2280,706
PRR14L,3235,2346
KLRC4,0,2
ACSM5,9,2003
C10orf120,2,0
IZUMO1R,5,1
SERHL2,81,80
PCBP3,967,267
PGPEP1L,6,3
SETD3,2115,5575
TNFAIP8L3,345,299
ZNRF3,1075,996
FBXL7,743,2402
TANGO2,325,613
SFXN4,1533,927
GKN2,1,0
FAM167B,162,194
ZNF438,860,1184
HMCES,3721,4123
CCR3,44,0
DGCR6,11,6
PRR32,0,0
RP1L1,7,25
KRTAP8-1,0,0
C15orf32,0,0
ZNF530,672,134
MARCHF11,0,0
KLHL25,795,819
TRMT12,1929,602
PSG9,0,0
BMP8A,1764,59
ALYREF,7480,1066
EFHC2,108,24
NOG,59,9
MRGPRX2,0,35
UPP1,1702,597
OR4N4,0,0
IFNL2,11,0
OPCML,209,64
TRIM52,227,590
CMTM4,4628,2424
TMEM50A,6763,6916
FIGLA,0,3
ASCL2,149,16
TBK1,1173,1373
CBX6,4784,4501
MACC1,2236,252
ACSM2A,0,20
TBL3,2236,1389
KREMEN1,1057,2589
TRAIP,578,77
CHEK2,2448,241
FOXL2,1,4
AIFM3,54,34
KCTD16,27,23
B3GALT5,26,195
ZNF703,1247,1786
SLC35F3,199,102
KCTD8,0,16
TUBA8,6,11
EMILIN3,12,41
OLFML1,273,3786
FAM162B,23,255
RBM12B,958,734
CCR4,26,26
LIN9,658,346
BTBD9,1011,1090
NUDT14,1037,701
ANKRD45,44,12
PNMA3,335,44
GPR39,151,20
FAM3B,86,199
ZNF730,88,10
IQGAP3,3534,83
CNGA2,0,0
TOB2,3950,5664
SCN5A,155,65
ARSI,301,48
TTC32,263,338
LRRC55,30,31
DNAH2,1461,62
SH2D1A,0,60
PRKX,3904,1016
KCNH8,6,38
SMTN,4151,2062
NPW,12,1
PP2D1,20,15
COA3,5519,1984
NPB,0,0
ST6GALNAC3,215,738
PTP4A2,13839,19909
ACTG1,420420,85427
TMPRSS2,533,429
DENND5A,5470,9313
OR2T10,0,0
DSCR4,0,0
KRTAP20-2,0,0
DIABLO,47,24
VPS33B,115,86
TBX1,960,131
ADAP2,306,806
UQCR10,2219,1182
FAM120C,848,1580
TRIML1,1,0
EIF3C,375,672
CLDN5,470,3001
NIPSNAP1,7424,1209
OR4F6,0,0
CNTN2,85,62
SPRR4,0,0
LRTOMT,144,295
OR10J5,0,0
KCNQ3,1383,134
ADRA2C,157,272
NR2C2AP,743,396
CRELD2,2778,982
OR1D2,0,0
SCFD2,905,1110
UBE2F,609,507
KCNJ12,41,269
PPP1R2,2226,2921
TSPYL2,810,1844
GOLGA6L4,2,4
PGP,844,331
SNRNP35,942,754
DGAT2L6,1,1
IRAK1,17386,3201
CMSS1,3292,1251
OLIG1,41,0
PCDH9,56,2512
ACOT1,66,540
OAF,1364,5178
ALDH1A3,540,747
KCNK12,19,26
POU6F1,383,1135
DEFB108B,0,0
TM2D3,1182,2025
TSSC4,1841,734
TACSTD2,31136,4342
SIX6,1,0
PRKD1,337,1078
CCSER1,281,132
ZDHHC23,768,165
MROH7,2,1
S100A7A,2,0
SRPK3,229,45
GDF3,9,7
IQCF2,0,0
SLIT3,1120,20743
EFNA5,1939,1439
MRGPRE,6,57
KRTAP19-1,1,0
SPATA32,36,3
PKP3,8104,399
MAP7D2,568,67
CSF1,1662,5360
COLEC10,22,2
ACTRT3,92,208
PLA2G6,784,813
MAML2,2266,3331
PABPC1L2B,11,0
A3GALT2,6,2
OR4N5,0,0
SS18L1,2678,732
KCND2,107,952
TOP1MT,4300,545
COPB2,23217,10206
LRRC19,3,2
THAP7,824,828
KNTC1,953,717
CCR10,26,57
NCMAP,691,126
BPIFC,3,0
WDR27,346,408
TXNRD2,1308,783
FOXO4,1985,2534
POU3F2,17,1
PTP4A3,3915,913
FOXD4L1,4,2
TMEM255B,532,417
PROS1,3080,6693
GAST,0,0
NUTM1,16,9
HDDC3,125,312
BEX5,5,134
ZFP1,391,789
CEND1,0,0
C6orf58,2,19
DHRS7C,0,2
DUSP8,820,110
SOCS3,7256,1230
SLITRK6,1014,152
PIWIL3,0,0
LPAR5,90,137
XPOT,9004,7007
PDE4B,2140,1058
C14orf180,0,1734
SNN,2369,6498
KCNH7,5,3
KRBA2,200,473
MED12,5679,3785
SEPTIN9,45935,7556
PRSS55,0,2
CDCA2,1503,24
RALYL,0,7
AMER1,1656,497
ZBTB40,3376,2151
CLDN6,10778,2
OR51M1,0,0
SEPTIN5,8,7
EIF4ENIF1,1226,1458
RNLS,412,813
KRTAP6-1,0,0
APOBR,349,73
FAM110C,812,115
DDX53,0,0
ATL3,4623,13274
NDUFA12,1157,1849
SMIM10,96,792
UBE2G2,9326,5777
SATL1,4,1
OSBP2,1226,205
PRR23B,0,0
ZBTB7C,340,958
APOO,13426,439
PRR16,191,175
TMED9,16422,4717
DRD1,1,94
TMEM186,436,402
SDR42E1,722,272
RBM33,3905,2664
ARMCX2,468,1663
SRY,0,0
RBM43,461,1842
SUMO3,16023,5026
IMMP2L,573,907
TCEAL2,7,167
CLCNKB,8,21
DMRTC1B,0,1
JAG2,2584,2120
FMNL1,752,1158
NUTM2A,16,14
PTRHD1,569,324
LCN12,19,17
ZFP90,844,2289
AQP12A,0,0
FAM227A,287,49
OR6C70,0,0
MUC6,1,281
NOC4L,1035,412
USP18,772,469
NDUFA6,4010,3106
CHRM5,7,4
SORCS2,596,489
TMEM121,52,45
TMEM106A,254,485
SIVA1,2961,1641
BRI3BP,1111,942
IFNE,2,3
SLC22A10,0,2
RFX6,0,2
AP3M1,2567,4657
F8,591,3941
NT5C1B,4,3
CA13,1334,106
UBOX5,809,688
MAFF,1908,542
BRF1,1280,1523
LRRC14B,25,1
SEMA4B,5483,1239
MROH2A,1,10
CIB1,3837,2782
ANKS1B,139,156
NELFA,1723,855
SLC24A3,1992,2061
SGCZ,0,26
C5orf47,1,0
KRT76,1,0
FLRT2,598,2920
INTS5,2337,1087
RPS27L,2444,3393
MANEAL,654,86
ANO9,1115,87
FAF1,3978,3046
MYADML2,11,0
FAM43A,597,1053
HSF1,6827,3107
C6orf120,697,2402
PURA,1197,5400
INPP5J,169,215
NPY2R,2,122
MIXL1,3,13
MFSD6L,153,5
LRRC37B,287,276
DDX51,910,860
ZNF479,0,0
SIGIRR,1264,706
NRBP2,1657,2259
PRSS57,0,2
IFITM2,3124,6237
TNFAIP2,6510,6364
ZNF445,1207,1789
PGBD2,1992,271
MC2R,0,0
RAB11B,3463,4016
PRMT3,630,569
GP1BA,16,27
PRPF39,1054,1375
MAGEA11,11,0
PPIL6,116,136
ZNF74,809,427
KIAA0825,38,153
TEX33,0,1
CDNF,88,216
NOTUM,80,0
KLHL33,2,180
ZBTB37,1206,2356
IL3RA,359,1025
IL3RA,0,0
SPPL2C,0,0
CCDC137,2733,558
SFTPA2,7,4
RGPD2,1,7
C12orf56,10,1
SCN10A,1,0
CDK10,1204,1299
TMEM105,649,4
TCN2,316,4963
GAS2L1,2797,1595
ATP6V0A2,680,1127
HS6ST3,137,44
HGS,5383,2042
TNFAIP8L1,1546,553
OR2V1,0,0
RAD51D,558,691
OR7A17,1,0
MAPK11,374,1296
SP140L,465,756
MRPL30,2261,1936
METTL7A,1929,21362
IFNLR1,353,134
SH3BGR,12,12
FAM174B,1141,787
FAM47A,0,0
KPNA7,40,1
GPRIN3,537,681
KRT6B,54327,625
PARPBP,410,71
STAC3,112,89
ROR1,1501,618
IRF7,1594,371
L3MBTL1,112,174
BRCC3,988,1305
SV2B,44,494
FAM131C,83,7
LMNTD2,18,31
SPATA45,1,1
PDE6G,16,18
PRKG1,507,904
NR2F2,3789,5894
DLK1,1,72
TLCD2,445,3824
LSAMP,667,283
AHNAK2,9873,6468
OLFML2A,4492,6020
SP1,7058,10100
SPATA8,0,2
MRPL40,1049,1837
DBX2,2,66
PDIA2,9,67
PCGF3,1379,1968
P4HB,121071,19269
PSMD13,7001,4812
PBX1,6422,11716
NDUFA4L2,4204,1232
SHC4,393,100
KRT79,29,230
ZFP36L1,27722,23428
UBE2L3,4511,5746
NTF3,121,59
BRWD1,4443,5008
SMIM23,7,0
PMEL,64,131
SYN3,84,142
POU3F1,3,11
SNAI3,21,19
ZBTB3,218,267
LYG2,6,2
MORN5,1,3
PRAME,4139,14
MYBL1,1167,163
DRG1,3762,3671
ANKFY1,2714,5525
YTHDF3,5517,5772
ZNF696,603,442
ADARB2,10,27
NRG3,34,14
SRL,5,217
C11orf87,2,49
IFIT1,3742,3555
CXorf38,1362,1327
CLDN24,4,1
KCNQ5,384,18
ADAMTSL5,98,61
KCNIP4,7,9
SPATA31A6,0,0
MORF4L1,11285,17754
NLRP9,6,3
WDR53,599,373
SLC52A2,5761,792
IKZF1,332,509
PCYT2,3631,3130
NAT8L,1133,15392
OR6C76,0,0
NPAP1,0,9
BCAP31,19036,20188
GNB1L,225,88
DNAH14,415,106
EVI2B,127,605
TMEM210,0,1
ZNF829,623,295
TMPRSS11B,0,0
THNSL1,1174,467
TRIM69,1087,2992
ATP6V0C,3,1
IFITM1,3664,3146
PRSS38,0,0
BPY2C,0,0
LAMP1,31487,19913
FFAR3,0,11
TAS2R60,0,0
POMK,3140,1201
C16orf54,26,96
KLHDC8B,1568,3110
KLHL34,69,10
SETD4,896,693
PTCH1,379,1095
OR4C46,0,0
KRTAP5-5,0,0
NKAIN3,77,34
RNPC3,399,1331
ZNF267,1177,592
IRS2,1941,10053
SHOX,8,2
SHOX,0,0
LCE3A,0,9
BICD2,3010,2764
LCE3E,0,0
CCIN,43,15
TMLHE,580,942
GRK1,12,1
DEFB128,0,0
SLITRK2,9,68
PLK5,4,0
RASA3,1509,4943
LRCH3,1627,2227
LEMD1,903,2
ATP4B,0,1
NDUFA13,30,16
ZNF566,775,678
ZNF529,832,665
ZNF284,248,132
HTR3E,1,0
DLEU7,11,18
KRT73,2,1
TAL2,4,3
AIDA,1293,3737
CD300LF,27,32
KRT5,16342,17882
NBPF6,25,3
GSAP,552,1191
HTR3D,0,0
OR4F5,0,0
AGBL4,28,56
ARGFX,0,0
CYP2R1,384,608
LRRC70,4,68
ANKRD46,11600,2745
PIP5K1C,2591,2602
OR5D14,0,0
CYP4F2,0,2
TEX38,2,4
OR5D18,0,0
ZBTB6,567,1033
C2orf76,647,504
TAS2R42,0,0
POLR3C,2415,1661
PRR30,0,0
UBL4B,1,15
WWOX,400,1058
CYP4Z1,2,255
BCL9L,4286,3699
POLR1D,3315,4454
KIF18B,1509,20
ZNRF1,1073,818
FFAR4,1,1083
BPIFB3,0,0
BPIFB4,0,0
SAPCD2,1033,33
EDARADD,65,157
SLC51B,7,21
CYP4F12,4,598
MTARC1,356,14309
LCE5A,0,0
SOWAHB,142,37
BLOC1S4,734,372
ZNF749,530,145
KLHL32,7,40
BTLA,4,33
ZNF17,274,302
KDM4D,76,96
GPAT2,9,73
TOR3A,3557,1743
PABPC1L2A,8,0
GABRA5,1,0
PPP1CC,7714,10529
ZNF555,473,382
NAP1L3,72,318
PRELID2,350,136
BACE1,659,1861
RGS9BP,53,6
SLC36A3,0,0
SLC36A2,1,16
THBS2,15641,6928
RXRA,5519,11511
ANKRD37,461,57
NUDT17,90,82
ZNF75D,454,1005
CYP4X1,115,781
KRT26,0,0
KRT10,1598,667
GOLGA8R,8,31
CD300E,419,53
CCDC30,166,186
NKRF,822,430
GLDN,9,1647
FCAR,29,5
KPNA4,7731,7838
TRDN,1,690
KRT3,6,0
ZNF501,243,363
ZNF197,825,1350
SPATA12,24,9
TMPRSS12,15,0
FAM228A,3,66
NAP1L2,104,328
RPS23,2382,10168
GNG2,593,8609
BTN3A2,1248,3874
AKAP14,0,0
PCLO,468,1176
KLK12,42,5
RGS7BP,1,90
INSIG1,5209,3743
MYT1L,0,1
ZNF396,110,281
TMEM222,3497,1740
OR9Q1,0,0
OR9Q2,0,0
ARHGAP30,2089,847
SEPTIN10,2512,6942
CYP4F8,4,14
CYP4F3,9,14
SMYD4,413,1179
FOXD2,38,49
GPATCH8,2810,3319
CEACAM19,1096,132
DEFB107A,0,0
NF2,6037,2207
SPATC1,3,7
DEFB105B,0,0
HPDL,468,7
KATNA1,819,949
FSD2,4,14
ARAP1,2404,4554
KIF24,414,134
PDE2A,338,5550
PRG2,2,0
PRR5,827,1734
ZFP91,3097,5807
BCDIN3D,276,208
MAGEE2,8,18
CYP27C1,297,97
LYRM7,372,2082
CCDC73,2,0
MST1L,11,61
BCR,6637,4674
OR10H1,1,1
MPPED1,3,12
FSCN2,33,16
FOXI2,6,38
SPIN4,393,234
ZNF732,182,13
SPIN2B,49,99
HYAL3,340,63
IFNA10,1,0
VSIG10L,299,167
CXCR3,6,35
ZNF397,815,2229
ZSCAN30,618,1160
LILRB4,372,737
TNFRSF4,230,66
KRT16,43459,632
HEXIM1,1223,1906
KRT14,20932,15124
TRABD2A,23,344
KRTAP17-1,1,0
POFUT2,2359,933
QRFPR,5,1
MAPT,97,3610
ERCC6L,675,26
TMEM17,154,241
TNFRSF18,857,22
FGF3,0,0
C1QL4,19,0
RTN4RL2,75,52
ZDHHC17,884,3320
SERPINA11,4,44
P2RY4,6,0
ZNF395,2660,4199
ZACN,9,1
KRTAP22-1,0,0
KRTAP19-6,0,0
KRTAP6-2,0,0
OR13C8,0,0
PPARA,1781,5020
TMEM232,128,88
KRTAP19-2,0,0
KRTAP19-4,0,0
KRTAP13-4,0,3
KRTAP19-5,0,0
KRTAP23-1,0,0
KANK3,89,592
EMID1,1033,169
ACTL7A,0,0
KRTAP21-1,0,0
RHD,13,15
ESPN,982,89
PNLIPRP1,8,0
PTRH1,1,2
KRTAP21-2,0,0
SAMD7,0,0
TMPRSS6,22,10
CYP4A11,0,7
TMEM216,743,553
RPS19BP1,4747,2006
TMPRSS11A,2,0
TMEM262,11,7
C3orf70,276,319
TEAD1,3757,15138
DEFB106B,0,0
PLCD1,1134,1840
CCK,2,3
ENTPD5,1014,1676
MITF,987,2755
HEATR4,21,61
NAP1L1,12828,25901
LILRA5,33,46
CMC1,367,576
SLIT1,19,38
LYPD6,246,298
AKR1C1,674,10697
VSTM2B,0,0
FOXD3,2,2
SPATA21,0,5
RNF220,2431,1706
ANGPTL5,0,389
LCE2A,3,0
KRTAP12-1,0,0
ZNF546,177,556
TSPYL4,1404,1735
MT1X,530,1906
GCNT1,3039,706
SESTD1,3886,10503
LCE3B,0,0
FNBP1,3301,2957
DYNC2H1,352,3047
KRT12,0,4
MAGED4B,54,2
BCAM,10279,7206
RSBN1L,1784,1635
WDR86,73,300
FAM9C,0,1
CIDEC,16,43925
DCC,19,17
TAF9B,1013,2829
PCDHB13,597,288
MAGI2,386,1038
LUZP2,7,105
LHFPL3,0,0
CHP1,6863,16399
FPR3,639,869
C11orf96,336,175
KCNJ11,86,70
CDHR4,0,5
COL4A1,79660,52465
PLEKHG7,0,1
GJA4,549,1539
PTMA,29197,16869
HSPA14,2095,473
ATP13A5,641,85
SIRT7,2030,484
POTEG,0,0
PRAMEF10,0,0
SBK2,1,0
CYP26C1,2,3
TLR5,348,829
USP7,6956,7477
NANOS3,35,5
FOXD4L3,0,0
NHLRC1,261,185
DPPA3,0,0
COX8C,0,1
PLEKHN1,466,22
ZNF385C,350,43
MAGEH1,2031,1452
TET3,5597,674
ZNF286A,440,208
ISG15,8203,613
EXD3,516,414
OR5W2,0,0
C17orf97,161,70
ZKSCAN4,216,448
DHRS4L2,216,736
SAMD11,96,28
PERM1,46,8
VMAC,167,267
HAPLN4,0,0
ERC2,156,21
SPRY4,3280,1543
ERAS,9,4
TRPV2,502,717
AMTN,33,1
C2orf88,41,639
SLC18A3,3,0
KBTBD12,11,29
THSD4,524,1519
DNAJB13,6,2
GABRD,438,25
TCEA1,3875,4417
NHEJ1,279,272
FANCA,792,78
SECISBP2,1299,2097
C9orf153,3,6
SSX7,0,0
ADH1A,0,532
SEMA4D,1177,728
KRTAP10-8,0,0
LIN28B,44,0
MCRS1,3744,1888
TMEM72,2,2
FANCM,350,429
ZNF70,363,413
CARD9,201,69
PEAR1,317,2142
ZFP69B,221,53
TMEM202,0,0
SOWAHD,10,16
ZFP69,257,227
HELT,0,0
TMEM220,30,894
C2orf78,0,1
PLSCR3,10,3
EIF4EBP1,3191,1993
P2RX2,10,0
ASCL4,0,1
CCDC157,215,25
TTC24,8,2
PALM3,19,17
GFRAL,0,6
LRRC74B,0,2
DMBT1,2,18
OR51I2,0,0
LCN10,0,29
LDLRAD2,78,321
C2orf66,16,8
OVCH1,0,12
COL14A1,598,45270
DNER,115,157
CPSF4L,46,3
KLHL17,340,122
ZCCHC13,0,0
PLA2G2C,76,14
ZSCAN23,6,49
RINL,735,275
C17orf99,5,2
TPRG1,64,881
MORN2,865,420
S100A3,30,76
UBQLN2,3812,3426
RILPL1,648,401
ZNF490,130,216
CLCN1,12,24
NRN1L,0,0
NWD1,116,26
ARL4C,7760,1575
RNF133,8,2
TMEM221,9,49
TREML4,2,0
WNT7B,1292,39
SCGB1C1,0,0
PLA2G4E,5,0
GPR89B,483,105
FAM25A,0,0
EYS,6,160
C6orf132,2144,535
DAZ1,0,0
OR2AG2,1,1
MAPK12,290,392
TMEM215,1,0
COL4A5,2346,947
AGRN,33996,3582
NHS,324,1098
OTOG,67,0
FAM166A,0,9
HEPACAM2,18,18
SMTNL2,28,72
ZC3H6,702,1661
LAMTOR4,4410,2292
PRKAR1B,1577,716
NCR3LG1,19,53
DCUN1D3,473,2800
POTEE,2,3
ZNF793,679,232
TUBB4B,10843,5949
COMMD6,3211,4359
PLA2G2A,0,4419
IL17REL,14,2
HYKK,193,463
OR7A5,18,3
C15orf62,60,87
RUFY4,10,8
ZNF383,461,839
HES4,296,60
IGFL1,9,5
ZNF669,436,221
LRRIQ4,6,3
CENPP,219,126
PLSCR1,2917,2174
C3orf62,267,391
ENO4,13,22
ZNF559,366,742
SBK1,1734,99
OR6C6,0,0
BSPH1,0,0
SLC38A3,76,604
GTF2F2,1775,986
FOCAD,1893,2259
PRR19,217,8
ZP3,1098,66
IFNA2,0,0
JAKMIP3,107,52
PPP3R2,0,1
PDCD1,4,17
CLEC2A,0,0
GPR21,20,12
SELL,241,257
MAGEB5,0,0
CHM,1022,1911
NANOS2,2,0
BLOC1S5,523,878
CERKL,23,2
SLC24A5,0,1
IER5L,487,258
INSC,1,8
SERPINA5,738,2386
LCTL,189,3
NCCRP1,10252,65
KRTDAP,21,1
COL25A1,238,478
FAM83G,1876,303
SRSF10,5778,4772
NBR1,4564,12055
OR2G6,0,0
RALGAPA2,4056,4972
NDOR1,535,436
NKAIN2,14,67
KRTAP1-1,42,1
PAQR9,1,15
CLN3,42,46
FAM72B,96,14
ASAH2,43,21
SUMO2,10369,6173
NANOS1,382,330
HMX3,10,0
IGFL3,98,1
GOLGA8M,3,98
ZNF177,0,1
DPYD,526,4258
S100A16,26877,4414
PTAR1,1859,3810
CC2D2B,17,28
RNASE9,0,1
SAXO2,36,45
RHCE,215,12
C2orf80,0,0
IDO2,0,1
PARVB,2486,2527
SLC4A5,56,22
UROS,2260,1833
QRFP,54,15
SMIM15,1403,2400
OSTN,0,35
VWC2,1,49
FAM221A,206,213
TMEM120B,825,1656
RBM34,35,27
NOXA1,205,142
TMEM198,415,63
BCL2L15,13,22
FZD9,192,75
SPRED3,185,44
PLET1,5,0
ADRB3,1,41
SKOR1,8,14
CATSPER4,0,0
PRELP,2056,27991
PLA2G2E,0,0
ZNF548,762,722
MTF1,2694,1827
TMCO2,1,1
SHISA6,81,549
TMEM201,1440,562
NHLRC3,773,3499
SNTN,7,0
ZDHHC11,130,107
CNR2,2,7
SLX4,445,380
GLRA4,8,13
ENTPD8,16,7
RPL14,18340,28286
BEND4,0,11
FAM78B,1327,171
ZNF563,108,151
TMC3,6,16
POTEA,0,0
FBF1,479,213
KLRG2,602,31
ASTL,9,6
MSL1,4908,5464
LRRK2,91,1738
BSX,0,1
GJB3,2423,20
TRMT2B,911,1333
HACD4,626,931
CFAP126,385,748
NYX,2,0
FAM120AOS,1655,3974
